country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Afghanistan,AFG,EMR,Household visit,c_hh_visit,1.81,0.45
Albania,ALB,EUR,Household visit,c_hh_visit,2.8,0.7
Algeria,DZA,AFR,Household visit,c_hh_visit,2.18,0.54
American Samoa,ASM,WPR,Household visit,c_hh_visit,2.18,0.54
Andorra,AND,EUR,Household visit,c_hh_visit,2.18,0.54
Angola,AGO,AFR,Household visit,c_hh_visit,2.15,0.54
Anguilla,AIA,AMR,Household visit,c_hh_visit,7.42,1.86
Antigua and Barbuda,ATG,AMR,Household visit,c_hh_visit,5.66,1.42
Argentina,ARG,AMR,Household visit,c_hh_visit,3.02,0.75
Armenia,ARM,EUR,Household visit,c_hh_visit,2.38,0.6
Aruba,ABW,AMR,Household visit,c_hh_visit,5.6,1.4
Australia,AUS,WPR,Household visit,c_hh_visit,7.32,1.83
Austria,AUT,EUR,Household visit,c_hh_visit,6.48,1.62
Azerbaijan,AZE,EUR,Household visit,c_hh_visit,2.16,0.54
Bahamas,BHS,AMR,Household visit,c_hh_visit,6.54,1.64
Bahrain,BHR,EMR,Household visit,c_hh_visit,3.7,0.93
Bangladesh,BGD,SEA,Household visit,c_hh_visit,2.87,0.72
Barbados,BRB,AMR,Household visit,c_hh_visit,8.3,2.08
Belarus,BLR,EUR,Household visit,c_hh_visit,2.36,0.59
Belgium,BEL,EUR,Household visit,c_hh_visit,6.37,1.59
Belize,BLZ,AMR,Household visit,c_hh_visit,5.1,1.27
Benin,BEN,AFR,Household visit,c_hh_visit,2.73,0.68
Bermuda,BMU,AMR,Household visit,c_hh_visit,10.19,2.55
Bhutan,BTN,SEA,Household visit,c_hh_visit,2.01,0.5
Bolivia (Plurinational State of),BOL,AMR,Household visit,c_hh_visit,2.79,0.7
Bosnia and Herzegovina,BIH,EUR,Household visit,c_hh_visit,2.87,0.72
Botswana,BWA,AFR,Household visit,c_hh_visit,2.94,0.74
Brazil,BRA,AMR,Household visit,c_hh_visit,3.4,0.85
British Virgin Islands,VGB,AMR,Household visit,c_hh_visit,3.4,0.85
Brunei Darussalam,BRN,WPR,Household visit,c_hh_visit,3.1,0.78
Bulgaria,BGR,EUR,Household visit,c_hh_visit,3.04,0.76
Burkina Faso,BFA,AFR,Household visit,c_hh_visit,2.71,0.68
Burundi,BDI,AFR,Household visit,c_hh_visit,2.64,0.66
Cabo Verde,CPV,AFR,Household visit,c_hh_visit,3.57,0.89
Cambodia,KHM,WPR,Household visit,c_hh_visit,2.54,0.63
Cameroon,CMR,AFR,Household visit,c_hh_visit,2.95,0.74
Canada,CAN,AMR,Household visit,c_hh_visit,6.67,1.67
Cayman Islands,CYM,AMR,Household visit,c_hh_visit,8.84,2.21
Central African Republic,CAF,AFR,Household visit,c_hh_visit,3.61,0.9
Chad,TCD,AFR,Household visit,c_hh_visit,2.84,0.71
Chile,CHL,AMR,Household visit,c_hh_visit,3.92,0.98
China,CHN,WPR,Household visit,c_hh_visit,4.5,1.13
"China, Hong Kong SAR",HKG,WPR,Household visit,c_hh_visit,5.8,1.45
"China, Macao SAR",MAC,WPR,Household visit,c_hh_visit,4.82,1.21
Colombia,COL,AMR,Household visit,c_hh_visit,2.72,0.68
Comoros,COM,AFR,Household visit,c_hh_visit,3.14,0.79
Congo,COG,AFR,Household visit,c_hh_visit,4.02,1.01
Cook Islands,COK,WPR,Household visit,c_hh_visit,7.42,1.86
Costa Rica,CRI,AMR,Household visit,c_hh_visit,4.26,1.07
Côte d'Ivoire,CIV,AFR,Household visit,c_hh_visit,3.16,0.79
Croatia,HRV,EUR,Household visit,c_hh_visit,3.6,0.9
Cuba,CUB,AMR,Household visit,c_hh_visit,3.6,0.9
Curaçao,CUW,AMR,Household visit,c_hh_visit,5.73,1.43
Cyprus,CYP,EUR,Household visit,c_hh_visit,5.14,1.28
Czechia,CZE,EUR,Household visit,c_hh_visit,4.05,1.01
Democratic People's Republic of Korea,PRK,SEA,Household visit,c_hh_visit,5.13,1.28
Democratic Republic of the Congo,COD,AFR,Household visit,c_hh_visit,3.65,0.91
Denmark,DNK,EUR,Household visit,c_hh_visit,7.48,1.87
Djibouti,DJI,EMR,Household visit,c_hh_visit,4.4,1.1
Dominica,DMA,AMR,Household visit,c_hh_visit,4.64,1.16
Dominican Republic,DOM,AMR,Household visit,c_hh_visit,3.01,0.75
Ecuador,ECU,AMR,Household visit,c_hh_visit,3.81,0.95
Egypt,EGY,EMR,Household visit,c_hh_visit,2.09,0.52
El Salvador,SLV,AMR,Household visit,c_hh_visit,3.32,0.83
Equatorial Guinea,GNQ,AFR,Household visit,c_hh_visit,2.95,0.74
Eritrea,ERI,AFR,Household visit,c_hh_visit,2.69,0.67
Estonia,EST,EUR,Household visit,c_hh_visit,4.51,1.13
Eswatini,SWZ,AFR,Household visit,c_hh_visit,2.86,0.72
Ethiopia,ETH,AFR,Household visit,c_hh_visit,2.87,0.72
Fiji,FJI,WPR,Household visit,c_hh_visit,3.12,0.78
Finland,FIN,EUR,Household visit,c_hh_visit,7.12,1.78
France,FRA,EUR,Household visit,c_hh_visit,6.2,1.55
French Polynesia,PYF,WPR,Household visit,c_hh_visit,6.2,1.55
Gabon,GAB,AFR,Household visit,c_hh_visit,3.42,0.86
Gambia,GMB,AFR,Household visit,c_hh_visit,2.56,0.64
Georgia,GEO,EUR,Household visit,c_hh_visit,2.14,0.53
Germany,DEU,EUR,Household visit,c_hh_visit,6.32,1.58
Ghana,GHA,AFR,Household visit,c_hh_visit,3.09,0.77
Greece,GRC,EUR,Household visit,c_hh_visit,4.61,1.15
Greenland,GRL,EUR,Household visit,c_hh_visit,4.61,1.15
Grenada,GRD,AMR,Household visit,c_hh_visit,4.52,1.13
Guam,GUM,WPR,Household visit,c_hh_visit,4.52,1.13
Guatemala,GTM,AMR,Household visit,c_hh_visit,3.86,0.96
Guinea,GIN,AFR,Household visit,c_hh_visit,3.14,0.79
Guinea-Bissau,GNB,AFR,Household visit,c_hh_visit,2.77,0.69
Guyana,GUY,AMR,Household visit,c_hh_visit,2.62,0.65
Haiti,HTI,AMR,Household visit,c_hh_visit,2.98,0.75
Honduras,HND,AMR,Household visit,c_hh_visit,3.29,0.82
Hungary,HUN,EUR,Household visit,c_hh_visit,3.57,0.89
Iceland,ISL,EUR,Household visit,c_hh_visit,7.96,1.99
India,IND,SEA,Household visit,c_hh_visit,2.19,0.55
Indonesia,IDN,SEA,Household visit,c_hh_visit,2.38,0.59
Iran (Islamic Republic of),IRN,EMR,Household visit,c_hh_visit,1.29,0.32
Iraq,IRQ,EMR,Household visit,c_hh_visit,3.16,0.79
Ireland,IRL,EUR,Household visit,c_hh_visit,6.64,1.66
Israel,ISR,EUR,Household visit,c_hh_visit,7.73,1.93
Italy,ITA,EUR,Household visit,c_hh_visit,5.62,1.4
Jamaica,JAM,AMR,Household visit,c_hh_visit,3.75,0.94
Japan,JPN,WPR,Household visit,c_hh_visit,7.15,1.79
